imdb_id,title,rec1,rec2,rec3,rec4,rec5,rec6
tt1956620,Sex Tape,Bad Teacher,RV,The Shaggy Dog,Blended,"Yours, Mine & Ours",Playing by Heart
tt2096672,Dumb and Dumber To,Cop and a Half: New Recruit,Red Nose Day Actually,Nothing to Lose,Boys on the Side,Steve Rannazzisi: Breaking Dad,21 Jump Street
tt2322441,Fifty Shades of Grey,The Adderall Diaries,Ithaca,Our Kind of Traitor,Before I Fall,Berlin Syndrome,Beastly
tt2515034,The Gunman,Lure: Teen Fight Club,The Double,Black November,Revenge of the Green Dragons,Johnny Was,Payback: Straight Up
tt2561572,Get Hard,The Shawshank Redemption,Daddy's Home,The House,Kevin Hart: What Now ?,Keith Robinson: Back of the Bus Funny,Lil Rel: RELevent
tt1976009,Victor Frankenstein,Hollow Man,Monkey Shines,Radio Free Albemuth,Errors of the Human Body,Jackrabbit,The Tribe
tt3682448,Bridge of Spies,Spy Game,Tinker Tailor Soldier Spy,Free State of Jones,Topaz,Salt,The Sum of All Fears
tt2869728,Ride Along 2,Ride Along 2,Ride Along,Blue Streak,Showtime,Bad Boys for Life,RoboCop 2
tt3774114,Snowden,Guarding Tess,The Ghost and the Whale,Felicity: An American Girl Adventure,A Job to Kill For,Queen of Earth,Dreamkiller
tt3065204,The Conjuring 2,The Conjuring,Insidious: Chapter 2,The BFG,The Avengers,About a Boy,Secrets & Lies
tt2005151,War Dogs,The Wolf of Wall Street,Blow,American Gangster,The Matriarch,We're the Millers,The Longest Yard
tt3522806,Mechanic: Resurrection,Safe,Transporter 3,Colombiana,The Transporter Refueled,The Purge: Election Year,Bad Boys for Life
tt2119532,Hacksaw Ridge,USS Indianapolis: Men of Courage,The Killing Fields,The Great Raid,Guernica,Their Finest,Sergeant York
tt2032572,USS Indianapolis: Men of Courage,Hacksaw Ridge,Beyond Valkyrie: Dawn of the Fourth Reich,Lion of the Desert,The Great Raid,The Monuments Men,War Pigs
tt2513074,Billy Lynn's Long Halftime Walk,Stop-Loss,Their Finest,Redacted,The Best Years of Our Lives,Hacksaw Ridge,Saving Private Ryan
tt2387499,Keeping Up with the Joneses,Honky Tonk Freeway,Convenience,Mr. Right,Man of the House,True Memoirs of an International Assassin,Canadian Bacon
tt1542768,True Memoirs of an International Assassin,Honky Tonk Freeway,Convenience,Paul Blart: Mall Cop,Mr. Right,Man of the House,Keeping Up with the Joneses
tt4731136,A Cure for Wellness,Ava's Possessions,Residue,Morgan,The Brood,Decoys,Quarantine 2: Terminal
tt4425200,John Wick: Chapter 2,The Transporter Refueled,Mechanic: Resurrection,Street Kings,Bad Boys for Life,Bullet to the Head,Bait
tt2592614,Resident Evil: The Final Chapter,Resident Evil,Resident Evil: Extinction,Resident Evil: Afterlife,Resident Evil: Apocalypse,Resident Evil: Retribution,Night of the Comet
tt4943322,The Ottoman Lieutenant,Lawrence of Arabia,Flyboys,Their Finest,Band of Brothers,Guernica,Fury
tt1984279,The Swan Princess Christmas,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: At World's End,Avengers: Age of Ultron,Superman Returns,Tangled,John Carter
tt4481514,The House,Daddy's Home,Spring Breakdown,Get Hard,Baby Mama,Winter Passing,Sisters
tt0086393,Superman III,Superman II,Superman Returns,Man of Steel,Superman,Justice League: The New Frontier,Justice League: Throne of Atlantis
tt0094898,Coming to America,Working Girl,Woo,Tramps,Arthur,Summer in the City,"New York, I Love You"
tt0312329,Against the Ropes,Tommy's Honour,Antwone Fisher,The Work and the Glory,The Heart of Me,Greater,Jefferson in Paris
tt0379786,Serenity,Star Trek: Generations,TEKKEN,Street Fighter: The Legend of Chun-Li,Power Rangers,Wild Wild West,Final Fantasy: The Spirits Within
tt0465602,Shoot 'Em Up,Hallam Foe,Rush Hour 3,Rush Hour 2,Smokin' Aces 2: Assassins' Ball,Drive,The Corruptor
tt0452694,The Time Traveler's Wife,Midnight in Paris,The Late Bloomer,Peggy Sue Got Married,Somewhere in Time,Anna Karenina,The Lake House
tt1142977,Frankenweenie,Bolt,Dr. Dolittle 2,Valiant,The Dog Lover,Robin Hood,Finding Dory
tt0118158,White Squall,The Finest Hours,The Finest Hours,The Bounty,Pirates of the Caribbean: On Stranger Tides,All Is Lost,Mutiny on the Bounty
tt0111280,Star Trek: Generations,Star Trek: Insurrection,Wild Wild West,Serenity,X2,Power Rangers,Replicant
tt0116683,James and the Giant Peach,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Heaven is for Real,Trolls,Eragon,The Lady in the Van,The Games Maker
tt0116259,Extreme Measures,The Immortal Life of Henrietta Lacks,Brain on Fire,Outbreak,Topaz,Unfaithful,The Paper
tt0101761,The Doors,I'm Not There.,School of Rock,I Saw the Light,This Is Elvis,The Temptations,The Rose
tt0119738,My Best Friend's Wedding,Down to You,The Wedding Singer,Autumn in New York,Made of Honor,The Bridges of Madison County,"You, Me and Dupree"
tt0119715,MouseHunt,Two Brothers,Stuart Little,While You Were Sleeping,Steal Big Steal Little,Rainbow Time,TMNT
tt0107211,Indecent Proposal,Cold Mountain,Two Lovers,August Rush,Breakfast at Tiffany's,"You, Me and Dupree",Autumn in New York
tt0120646,The Deep End of the Ocean,The Ghost and the Whale,Disturbia,The Livingston Gardener,The Schoolboy,The Enfield Haunting,Mio in the Land of Faraway
tt0134154,Ride with the Devil,Guernica,The Year of Living Dangerously,Savior,Billy Lynn's Long Halftime Walk,Assembly,Gods and Generals
tt0108147,Sister Act 2: Back in the Habit,In the Good Old Summertime,Bo Burnham: Make Happy,Help!,Sister Act,Opening Night,Bathing Beauty
tt0142688,The Ninth Gate,Dreamkiller,Salem's Lot,02:13,The Unborn,Psych:9,Needle
tt0232500,The Fast and the Furious,2 Fast 2 Furious,Fast & Furious 6,The Fast and the Furious: Tokyo Drift,Fast & Furious,Furious 7,Fast Five
tt0279889,Joe Somebody,Mamma Mia!,The Santa Clause,Big Trouble,The Real Miyagi,Matchstick Men,The Nice Guys
tt0099044,Another 48 Hrs.,48 Hrs.,Money for Nothing,Narc,Rise of the Footsoldier,Bullet to the Head,Get the Gringo
tt0278435,Enough,Sleeping with the Enemy,Shall We Dance?,Survival Island,The Ledge,Frantic,Fatal Attraction
tt0287717,Spy Kids 2: The Island of Lost Dreams,The Incredibles,Spy Kids 3-D: Game Over,Spy Kids: All the Time in the World,Stormbreaker,Catch That Kid,Kingsman: The Secret Service
tt0338459,Spy Kids 3-D: Game Over,Tron,Battle For SkyArk,Spy Kids: All the Time in the World,Yu-Gi-Oh! The Movie,Sheena,Aliens in the Attic
tt0454919,Pulse,Wrong Turn,Open Water 2: Adrift,One Missed Call,When a Stranger Calls,Without a Paddle,Hide and Seek
tt0437954,Virgin Territory,For a Few Bullets,Six Days Seven Nights,Moon Over Parador,Epic Movie,3 Strikes,Slap Shot 3: The Junior League
tt0465580,Push,Joshua: Teenager vs. Superpower,The X Files,Listening,You Only Live Twice,Goldfinger,On Her Majesty's Secret Service
tt1142988,The Ugly Truth,Win a Date with Tad Hamilton!,All Things Valentine,Killers,A December Bride,Red Nose Day Actually,All of My Heart
tt1055292,Life As We Know It,The Matriarch,Hitch,The Ugly Truth,Four Christmases,Mr. Right,Play the Game
tt1403865,True Grit,Hamlet,Far and Away,Biker Boyz,Jack Frost,Cold Mountain,Happy Gilmore
tt1067583,Water for Elephants,The Work and the Glory,The Heart of Me,The Whole Wide World,How Do You Know,For Love of the Game,Anna Karenina
tt1411250,Riddick,Pitch Black,Surrogates,Impostor,Soldier,They Live,The One
tt1979320,Rush,Winning: The Racing Life of Paul Newman,The Fast and the Furious: Tokyo Drift,Heaven is for Real,2 Fast 2 Furious,A Dangerous Method,Fast & Furious 6
tt3450650,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop,True Memoirs of an International Assassin,The Spy Next Door,All She Wishes,Inspector Gadget,Captain Ron
tt2304933,The 5th Wave,Allegiant,Ender's Game,Divergent,The Host,The Giver,The Maze Runner
tt1292566,How to Be Single,Me and Orson Welles,Confessions of a Shopaholic,Bliss,Waiting to Exhale,The Lady in the Van,Fallen
tt4501244,Why Him?,Moms' Night Out,Riley's First Date?,The Mother,The House on Pine Street,Meet Me in Venice,The Shaggy Dog
tt2091256,Captain Underpants: The First Epic Movie,Despicable Me 3,Sly Cooper,Monster High: Haunted,Wild Child,Charlie Bartlett,Barely Lethal
tt0100477,The Rescuers Down Under,The Rescuers,Arthur and the Revenge of Maltazard,Legend of the Guardians: The Owls of Ga'Hoole,Arthur 3: The War of the Two Worlds,Return to Never Land,Epic
tt0349467,Freedomland,The Ghost and the Whale,Cleaner,Kiss of Death,Mr. Brooks,Slow Burn,Columbus Circle
tt0119210,Switchback,Ballistic: Ecks vs. Sever,Horsemen,Dreamkiller,Mindhunters,Lethal Weapon 2,Inception
tt0091225,Howard the Duck,Set the Thames on Fire,Memoirs of an Invisible Man,Home,Drone Wars,The Mermaid,Mr. Destiny
tt0097428,Ghostbusters II,Nanny McPhee,The Princess Bride,Ghostbusters,All She Wishes,Girl in Progress,Welcome to Happiness
tt0175880,Magnolia,The Tortured,The Sixth Sense,Monster's Ball,The Shack,The Hand that Rocks the Cradle,X+Y
tt0247638,The Princess Diaries,The DUFF,"I Love You, Beth Cooper",The Spectacular Now,Paper Towns,Fallen,Beastly
tt0337563,13 Going on 30,The Purple Rose of Cairo,Freaky Friday,Made of Honor,Zack and Miri Make a Porno,Kazaam,Take Me Home Tonight
tt0381707,White Chicks,Kindergarten Cop 2,21 Jump Street,Mean Girls,22 Jump Street,My Favorite Martian,Little Man
tt0410377,Nim's Island,Doctor Dolittle,All She Wishes,Swallows and Amazons,Herbie Fully Loaded,Brave,The Beaver
tt0482603,Space Chimps,SpaceCamp,Dante 01,Alien,Alien³,Treasure Planet,Journey to Space
tt0887883,Burn After Reading,The Matriarch,Buddies,A Serious Man,How Not to Work & Claim Benefits... (and Other Useful Information for Wasters),"Hail, Caesar!",Young Adult
tt1099212,Twilight,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Eclipse,The Twilight Saga: New Moon,Beastly,Naomi and Ely's No Kiss List,Fallen
tt0840361,The Town,Gone Baby Gone,Live by Night,Patriots Day,Jack Reacher,Black Mass,Blitz
tt1161864,The Rite,Crazy As Hell,Stoker,Insidious: Chapter 3,Ratter,Fractured,Intruders
tt1564349,Dolphin Tale,Dolphin Tale 2,Simon Birch,This Christmas,Babysitters Beware,Bee Season,The 12 Dogs of Christmas
tt1723121,We're the Millers,Saving Grace,American Gangster,Clockers,Traffic,Trainspotting,A Low Down Dirty Shame
tt1243974,Aloha,How Do You Know,The Rules of Attraction,The Matriarch,Working Girl,Griff the Invisible,Love's Complicated
tt3076658,Creed,Rocky III,Rocky II,Jawbone,Downhill Racer,Over the Top,Hard Times
tt0117008,Matilda,Charlie and the Chocolate Factory,North,The Shaggy Dog,Home Alone 3,Spy Kids,Moms' Night Out
tt0117318,The People vs. Larry Flynt,Addicted to Porn: Chasing the Cardboard Butterfly,Shortbus,Shame,Bird on a Wire,Zack and Miri Make a Porno,Dead Man Walking
tt0118771,Breakdown,The Fast and the Furious: Tokyo Drift,The Transporter Refueled,Joshua Tree,Kidnap,2 Fast 2 Furious,Fast & Furious 6
tt0119177,Gattaca,What Happened to Monday,Predestination,Source Code,Approaching the Unknown,Pandorum,Code 46
tt0118607,Amistad,Wilson,Geronimo: An American Legend,J. Edgar,Elizabeth,Butch Cassidy and the Sundance Kid,Valentino
tt0251160,John Q,Dad,Trespass Against Us,We Own the Night,Edge of Winter,Dusk,Blood Work
tt0266465,A Man Apart,Hesher,Cold Mountain,Jack Frost,Highlander: Endgame,Whale Rider,Dead Presidents
tt0086006,Never Say Never Again,Thunderball,The World Is Not Enough,Die Another Day,Quantum of Solace,Goldfinger,Spectre
tt0101373,At Play in the Fields of the Lord,The Work and the Glory,The Heart of Me,The Whole Wide World,Anna Karenina,Valmont,The Best of Me
tt1231587,Hot Tub Time Machine,Project Almanac,Hot Tub Time Machine 2,ARQ,Doctor Who,Men in Black 3,The Time Machine
tt0377981,Gnomeo & Juliet,West Side Story,Closer,Sweet Charity,The Wiz,James and the Giant Peach,Black Nativity
tt0480687,Hall Pass,The Lovers,Moms' Night Out,Outland,Running with Scissors,Fatal Attraction,Frantic
tt1674784,Trespass,Hostage,Frantic,Straw Dogs,Dead Heat on a Merry-Go-Round,Pawn,Tiger House
tt2978462,Dolphin Tale 2,Dolphin Tale,Simon Birch,This Christmas,Bee Season,The 12 Dogs of Christmas,Anne Of Green Gables: The Continuing Story
tt4682786,Collateral Beauty,He's Just Not That Into You,1 Night,Remember Me,Beginners,Rudderless,P.S. I Love You
tt0114576,Sudden Death,Enemies Closer,Replicant,Direct Contact,Flight of Fury,Hunt to Kill,Big Game
tt0115645,Before and After,The Ghost and the Whale,Kiss of Death,Next of Kin,A Job to Kill For,Postcards from the Edge,Obsessed
tt0114508,Species,Species II,Drone Wars,Splice,Soldier,The Thing,Species: The Awakening
tt0111333,The Swan Princess,Diana,Barbie in Rock 'N Royals,Barbie in Princess Power,Once Upon A Holiday,Gulliver's Travels,The King and I
tt0107426,Little Buddha,The Messenger,The Kingdom of Solomon,The Last Man on the Moon,Mad City,What Just Happened,"Bodies, Rest & Motion"
tt0111301,Street Fighter,Street Fighter: The Legend of Chun-Li,TEKKEN,I Spy,Sudden Death,Metro,Star Trek V: The Final Frontier
tt0107004,Geronimo: An American Legend,Tombstone,Butch Cassidy and the Sundance Kid,Wilson,J. Edgar,Elizabeth,Mobsters
tt0096895,Batman,Batman & Robin,Batman Returns,Justice League: Gods and Monsters,The Dark Knight,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,Batman: Return of the Caped Crusaders
tt0113362,The Horseman on the Roof,Proof of Life,Flyboys,Coming Home,Raintree County,"The Tulse Luper Suitcases, Part 1: The Moab Story",The Year of Living Dangerously
tt0101540,Cape Fear,Sleepers,Straw Dogs,Mean Dreams,Tales from the Hood,I Spit on Your Grave,Mystic River
tt0079945,Star Trek: The Motion Picture,Star Trek IV: The Voyage Home,Star Trek V: The Final Frontier,Star Trek II: The Wrath of Khan,Star Trek VI: The Undiscovered Country,Star Trek III: The Search for Spock,Star Trek: Nemesis
tt0105690,Under Siege,Out for a Kill,The Patriot,Kill Switch,Born to Raise Hell,Driven To Kill,Code of Honor
tt0119008,Donnie Brasco,10th & Wolf,The Son of No One,The Departed,Sleepless,Mobsters,Righteous Kill
tt0120152,Smilla's Sense of Snow,The Ghost and the Whale,Shade,10th & Wolf,Alex Cross,Kiss of Death,Takers
tt0118623,Anna Karenina,The Work and the Glory,The Heart of Me,Any Day,The Whole Wide World,Valmont,The Best of Me
tt0119360,In & Out,The Birdcage,Edge of Seventeen,Beginners,Looking: The Movie,4th Man Out,I Now Pronounce You Chuck & Larry
tt0119488,L.A. Confidential,All Things To All Men,Beautiful & Twisted,Sleepless,Mr. Brooks,Slow Burn,Columbus Circle
tt0119142,For Richer or Poorer,Turk 182!,Home Alone 2: Lost in New York,Norm of the North,Norm of the North,Wolves,Uptown Girls
tt0119668,Midnight in the Garden of Good and Evil,The Ghost and the Whale,The Rookie,Mr. Brooks,Slow Burn,Columbus Circle,Kill the Messenger
tt0120841,Species II,Species,Steel,Drone Wars,Man of Steel,Jurassic Prey,Virus
tt0104714,Lethal Weapon 3,Lethal Weapon 2,Lethal Weapon 4,Lethal Weapon,CHiPS,21 Jump Street,22 Jump Street
tt0096446,Willow,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Chamber of Secrets,The Sorcerer's Apprentice,The Scorpion King: Quest for Power,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire
tt0124298,Blast from the Past,Beauty Shop,Dudley Do-Right,Love's Labour's Lost,Who Gets the Dog?,The Golden Boys,Two Can Play That Game
tt0123209,The Other Sister,The Matriarch,Love's Complicated,Solitary Man,Double Wedding,Sex and the City 2,Life or Something Like It
tt0100502,RoboCop 2,RoboCop 3,Bad Boys for Life,RoboCop,Blue Streak,Dog Eat Dog,Along Came a Spider
tt0185014,Wonder Boys,The Lady in the Van,Bliss,Buffalo Soldiers,Before I Fall,Stay Hungry,I Hope They Serve Beer in Hell
tt0100403,Predator 2,Tango & Cash,Volcano,Blue Thunder,The One,Far Cry,MindGamers
tt0106469,Bound by Honor,Colors,Training Day,Next Friday,Playing God,Street Kings,South Central
tt0103241,What About Bob?,Cheaper by the Dozen 2,This Christmas,Larger Than Life,"Yours, Mine & Ours",Love the Coopers,National Lampoon's Vacation
tt0088206,Supergirl,Justice League: The Flashpoint Paradox,Justice League,Justice League: The New Frontier,Justice League: Throne of Atlantis,Man of Steel,Green Lantern: First Flight
tt0211938,Bait,Bullet to the Head,Safe,The Amateur,6 Bullets,In the Blood,Code of Honor
tt0186894,Bounce,Shadowlands,Two Lovers,Possession,The Work and the Glory,The Heart of Me,He's Just Not That Into You
tt0190374,Dungeons & Dragons,Star Trek: Renegades,The Scorpion King: Quest for Power,Dragonball Evolution,Fly Me to the Moon,After Earth,Max Steel
tt0237572,The Pledge,The Ghost and the Whale,Mr. Brooks,Slow Burn,Columbus Circle,Kill the Messenger,Uncle John
tt0209475,The Wedding Planner,Up Close & Personal,Finding Neverland,Fahrenheit 9/11,Emma,Dances with Wolves,Out of Africa
tt0092965,Empire of the Sun,Paradise Road,The Bridge on the River Kwai,Little Boy,Letters from Iwo Jima,Too Late the Hero,The Last Samurai
tt0190861,Vatel,Jefferson in Paris,Lady Jane,The Kingdom of Solomon,The Last Man on the Moon,Grace of Monaco,Savannah
tt0125022,Heartbreakers,Duplicity,Bandits,Married to the Mob,The Golden Boys,Two Can Play That Game,With This Ring
tt0227538,Spy Kids,Our Idiot Brother,Joe Dirt,Spy Kids: All the Time in the World,Charlie and the Chocolate Factory,MouseHunt,Mary Poppins
tt0244000,American Outlaws,The Long Riders,Young Guns,Silverado,Bite the Bullet,The Long Ride Home,Hidalgo
tt0120681,From Hell,Hellraiser: Inferno,Dreamkiller,Hide and Seek,Cold Mountain,Regression,02:13
tt0252503,Heist,Setup,Marauders,The Newton Boys,The Transporter Refueled,Armored,Kiss of Death
tt0080745,Flash Gordon,Edtv,The Sword and the Sorcerer,Your Highness,Beastmaster 2: Through the Portal of Time,Star Trek: Generations,Outcast
tt0245844,The Count of Monte Cristo,Presumed Innocent,Inception,The Quiet American,Seeking Justice,Jack Frost,Highlander: Endgame
tt0238546,Queen of the Damned,The Twilight Saga: Eclipse,Dracula Untold,Dracula 2000,The Twilight Saga: New Moon,The Little Vampire,Interview with the Vampire
tt0074174,The Bad News Bears,Bad News Bears,Undrafted,Dennis the Menace,All She Wishes,Mr. 3000,"Yours, Mine & Ours"
tt0081059,Lion of the Desert,USS Indianapolis: Men of Courage,Hacksaw Ridge,The Great Raid,Beyond Valkyrie: Dawn of the Fourth Reich,The Monuments Men,The Pacific
tt0276033,The Country Bears,Free Willy,Midnight Sun,Alvin and the Chipmunks: The Road Chip,Iliza Shlesinger: Freezing Hot,Rio,Ace Ventura: When Nature Calls
tt0240510,The Four Feathers,Hart's War,Closing the Ring,Gods and Generals,Dear John,Flyboys,"The Tulse Luper Suitcases, Part 1: The Moab Story"
tt0288477,Ghost Ship,Dreamkiller,02:13,The Unborn,Psych:9,Needle,Private Number
tt0280665,Femme Fatale,The Tourist,Raising Cain,White Mischief,Someone to Watch Over Me,The Talented Mr. Ripley,London Spy
tt0083642,The Best Little Whorehouse in Texas,Black Nativity,London Road,Jersey Boys,Grease Live,Grease Live,The Wiz
tt0282120,The Wild Thornberrys Movie,Our Idiot Brother,Addicted to Fresno,Barbie: Spy Squad,Frozen Fever,12 Feet Deep,Sunshine Cleaning
tt0253474,The Pianist,Unbroken,In Enemy Hands,Fury,Hart's War,Where Eagles Dare,Chosen
tt0106701,Dennis the Menace,All She Wishes,"Yours, Mine & Ours",Love the Coopers,Houseguest,Ace Ventura Jr: Pet Detective,Ernest Saves Christmas
tt0309530,Down with Love,Turk 182!,Killers,Out for Justice,Arthur,Summer in the City,"New York, I Love You"
tt0102603,Oscar,Top Dog,Chill Factor,Bullet to the Head,Big Trouble,Duplex,The Spy Next Door
tt0099587,Flight of the Intruder,Missing in Action,The Sand Pebbles,Extreme Ops,Undisputed,Next of Kin,Zaytoun
tt0304711,The Order,The Ghost and the Whale,Dreamkiller,Queen of Earth,02:13,Black Rainbow,The Kiss
tt0332379,School of Rock,Tenacious D in The Pick of Destiny,This Is Elvis,Walk Hard: The Dewey Cox Story,I'm Not There.,Eat that Question: Frank Zappa in His Own Words,This Is Spinal Tap
tt0294357,Beyond Borders,Valley of Flowers,Two Lovers,Frida,Down to You,Wicker Park,Return to Me
tt0104427,Hoffa,Throw Momma from the Train,Wise Guys,Harold and Lillian: A Hollywood Love Story,The Conspirator,The Two Jakes,The Big Kahuna
tt0105211,Radio Flyer,Mortal Thoughts,An Open Secret,Ever After: A Cinderella Story,Antibirth,Baby Boy,Let's Go to Prison
tt0078723,1941,Little Boy,In Enemy Hands,The Monuments Men,All The Queen's Men,War Pigs,Catch-22
tt0300051,Jersey Girl,Surviving Christmas,Hesher,Beginners,Cold Mountain,Jack Frost,The Shack
tt0361841,Little Black Book,The Matriarch,Love's Complicated,Solitary Man,Double Wedding,Sex and the City 2,Life or Something Like It
tt0257516,Cursed,Ginger Snaps,Our Idiot Brother,Little Nicky,You Again,Punch-Drunk Love,Lullaby
tt0372237,Guess Who,My Boss's Daughter,How Stella Got Her Groove Back,Soul Plane,Killers,The Golden Boys,Two Can Play That Game
tt0405325,Sky High,Captain Ron,Superman III,The Incredibles,Batman: Mask of the Phantasm,Barbie in Princess Power,Barely Lethal
tt0361089,Valiant,Scooby-Doo! Moon Monster Madness,Walking With Dinosaurs,Khumba,Once Upon a Forest,Finding Dory,Thunder and the House of Magic
tt0417217,Two for the Money,The Longest Yard,The Son of No One,Any Given Sunday,Gold,Devil's Knot,Gridiron Gang
tt0395972,North Country,Joe's Violin,Sunshine Superman,AWOL,A Brave Heart: The Lizzie Velasquez Story,A Brave Heart: The Lizzie Velasquez Story,Don't Blink: Robert Frank
tt0458352,The Devil Wears Prada,Raising Helen,The Internship,Hope Springs,The Matriarch,Broadcast News,Postcards from the Edge
tt0383060,Zoom,All She Wishes,"Yours, Mine & Ours",How the Grinch Stole Christmas,Love the Coopers,Barnyard,This Christmas
tt0414993,The Fountain,Autumn in New York,Valley of Flowers,Two Lovers,The Discovery,A Sound of Thunder,The Lobster
tt0401445,A Good Year,Bottle Shock,Sideways,Another Year,The Matriarch,Love's Complicated,Magic in the Moonlight
tt0762121,The Nativity Story,The Visual Bible: The Gospel of John,The Greatest Story Ever Told,Kama Sutra - A Tale of Love,Killing Jesus,Jesus,Suffragette
tt0762114,License to Wed,My Best Friend's Wedding,The Wedding Singer,Four Weddings and a Funeral,Down to You,Good Luck Chuck,Love in the Time of Cholera
tt0891527,Lions for Lambs,Missing in Action,The Pacific,Flyboys,Band of Brothers,In Enemy Hands,Where Eagles Dare
tt0841046,Walk Hard: The Dewey Cox Story,High Fidelity,School of Rock,Industrial Soundtrack for the Urban Decay,Eat that Question: Frank Zappa in His Own Words,This Is It,Tenacious D in The Pick of Destiny
tt0880578,Untraceable,The Texas Chainsaw Massacre: The Beginning,Surveillance,No One Lives,Manhunter,Fender Bender,The Texas Chainsaw Massacre
tt0494652,Welcome Home Roscoe Jenkins,The Best Man,The Matriarch,Buddies,How Not to Work & Claim Benefits... (and Other Useful Information for Wasters),Solitary Man,She Hate Me
tt0467200,The Other Boleyn Girl,Our Idiot Brother,Marvin's Room,Sisters,Lullaby,Ginger Snaps,Happiness
tt0478087,21,Kidnapping Mr. Heineken,Cold Deck,Cold Deck,The Gambler,Rounders,Elephant
tt0426592,Superhero Movie,Iron Sky,Lazer Team,Lazer Team,American Hero,22 Jump Street,Highway to Hell
tt0790686,Mirrors,Dreamkiller,02:13,The Unborn,Psych:9,Needle,Private Number
tt0467197,Max Payne,Warcraft,Hitman: Agent 47,House of the Dead,Heaven is for Real,Nerve,Resident Evil
tt0959337,Revolutionary Road,Jude,We Don't Live Here Anymore,"Crazy, Stupid, Love.",The Great Gatsby,Friends with Money,Reflections in a Golden Eye
tt0834001,Underworld: Rise of the Lycans,Underworld: Evolution,Replicant,Eyeborgs,Star Trek: Renegades,The Twilight Saga: New Moon,The Twilight Saga: Breaking Dawn - Part 1
tt0785006,Hotel for Dogs,Marley & Me,Annie,The Great Gilly Hopkins,All She Wishes,Frankenweenie,Lemony Snicket's A Series of Unfortunate Events
tt0962736,The Young Victoria,This Christmas,The King's Speech,Bee Season,The 12 Dogs of Christmas,Anne Of Green Gables: The Continuing Story,Dolly Parton's Christmas of Many Colors: Circle of Love
tt1119646,The Hangover,The Hangover Part III,The Hangover Part II,Last Vegas,Bachelor Games,The Incredible Burt Wonderstone,Hostel: Part III
tt1114677,Hannah Montana: The Movie,Ice Princess,Descendants 2,Teen Beach 2,Beyond the Valley of the Dolls,LOL,Spice World
tt0976238,Old Dogs,Diary of a Wimpy Kid: Dog Days,Cars 2,Inside Out,Zoom,All She Wishes,A Bug's Life
tt1179056,A Nightmare on Elm Street,Dreamkiller,The Woman in Black,Odd Thomas,02:13,The Unborn,Psych:9
tt0492389,Furry Vengeance,99 Homes,Glengarry Glen Ross,The Country Bears,Iliza Shlesinger: Freezing Hot,The Sweetest Thing,Hampstead
tt1212436,The Back-Up Plan,Win a Date with Tad Hamilton!,The Switch,The Ugly Truth,Saving Silverman,This Isn't Funny,Mr. Right
tt1415283,Nanny McPhee and the Big Bang,All She Wishes,Red Riding Hood,Alvin and the Chipmunks: The Squeakquel,Nanny McPhee,Doctor Dolittle,Iliza Shlesinger: Freezing Hot
tt1028576,Secretariat,A Sunday Horse,Hidalgo,50 to 1,Bite the Bullet,Marnie,Race to Win
tt0491152,Something Borrowed,Me and Orson Welles,How to Be Single,The Late Bloomer,Bliss,Party Monster,Waiting to Exhale
tt1499658,Horrible Bosses,Identity Thief,Wanted,Redirected,Hamlet,The Tortured,Weekend at Bernie's
tt1632708,Friends with Benefits,Iliza Shlesinger: Freezing Hot,The Sweetest Thing,Fired Up!,Harold & Kumar Escape from Guantanamo Bay,MacGruber,Town & Country
tt0905372,The Thing,The Thing,Ava's Possessions,Residue,Dark Skies,Super 8,The Brood
tt1600195,Abduction,Salt,Run All Night,Dreamkiller,Gloria,In Time,Hot Pursuit
tt1616195,J. Edgar,Wilson,Butch Cassidy and the Sundance Kid,My Friend Rockefeller,Mandela: Long Walk to Freedom,The Rookie,Born to Be Blue
tt1655460,Wanderlust,Iliza Shlesinger: Freezing Hot,Dinner for Schmucks,Role Models,"I Love You, Man",Fired Up!,"Me, Myself & Irene"
tt1567609,Get the Gringo,Escape Plan,Papillon,Lock Up,Death Warrant,The Last Castle,Runaway Train
tt1547234,Premium Rush,Countdown,Out for Justice,Payback,Tracers,Righteous Kill,Changing Lanes
tt1656186,Stolen,War,The Siege,Seeking Justice,Catch.44,Collateral,Kiss of Death
tt1588173,Warm Bodies,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,Zombie Pizza,Beastly,Fallen,Allegiant
tt1540128,Playing for Keeps,Kicking & Screaming,Strictly Ballroom,A Family Man,Little Nicky,How to Train Your Dragon 2,House at the End of the Street
tt1758830,This Is 40,Moms' Night Out,The Shaggy Dog,How to Train Your Dragon 2,American Reunion,Judy Moody and the Not Bummer Summer,The Lovers
tt1904996,Parker,Chaos,Safe,Curse of the Pink Panther,Transporter 3,Cradle 2 the Grave,Rough Cut
tt2024432,Identity Thief,The Heat,Horrible Bosses,Fun with Dick and Jane,Small Apartments,Tom Segura: Mostly Stories,Tony Hinchcliffe: One Shot
